Common_name,median_temperature,percentile_75th,Exclude,Reason
Dwarf Pug,9.373040681,9.710761853,1,75th centile temperature > 9.52
Broken-barred Carpet,9.360337107,9.711336581,1,75th centile temperature > 9.52
Purple Bar,9.303565287,9.711571829,1,75th centile temperature > 9.52
Gothic,9.400355865,9.712381468,1,75th centile temperature > 9.52
Dark Arches,9.308894451,9.712651348,1,75th centile temperature > 9.52
Shaded Broad-bar,9.362481734,9.712651348,1,75th centile temperature > 9.52
Lead-coloured Drab,9.513271753,9.712651348,1,75th centile temperature > 9.52
Alder Kitten,9.46534802,9.713129546,1,75th centile temperature > 9.52
Small Phoenix,9.380219701,9.713131382,1,75th centile temperature > 9.52
Small Angle Shades,9.383462261,9.714571485,1,75th centile temperature > 9.52
Rivulet,9.321263352,9.716187091,1,75th centile temperature > 9.52
Clouded Border,9.358232807,9.716187091,1,75th centile temperature > 9.52
Plain Wave,9.379233109,9.716994894,1,75th centile temperature > 9.52
Early Moth,9.456339533,9.717802698,1,75th centile temperature > 9.52
Silver Cloud,9.603942515,9.717802698,1,75th centile temperature > 9.52
Grey Pine Carpet,9.355844065,9.718218285,1,75th centile temperature > 9.52
Hebrew Character,9.362481734,9.718633873,1,75th centile temperature > 9.52
Clouded Drab,9.401832506,9.719465048,1,75th centile temperature > 9.52
Winter Moth,9.352376498,9.719675973,1,75th centile temperature > 9.52
Common Quaker,9.409148678,9.721362452,1,75th centile temperature > 9.52
Currant Pug,9.42187432,9.722876912,1,75th centile temperature > 9.52
Early Tooth-striped,9.326750511,9.723501121,1,75th centile temperature > 9.52
Brown-line Bright-eye,9.422502414,9.724741672,1,75th centile temperature > 9.52
Yellow Shell,9.347506854,9.725829608,1,75th centile temperature > 9.52
Purple-bordered Gold,9.498164366,9.726260344,1,75th centile temperature > 9.52
July Belle,8.962006292,9.727077753,1,75th centile temperature > 9.52
Green-brindled Crescent,9.397700311,9.72722013,1,75th centile temperature > 9.52
Lead Belle,9.11321245,9.727702742,1,75th centile temperature > 9.52
