Common_name,Hectad,Time_period,Exclude
Red Sword-grass,SS58,1975-1991,0
Gold Spangle,SS59,1975-1991,0
Sword-grass,SS78,1975-1991,0
Angle-striped Sallow,SS84,1975-1991,1
Gold Spangle,SS88,1975-1991,0
Sword-grass,SS88,1975-1991,0
Red Sword-grass,SS88,1975-1991,0
Scarce Silver Y,SS89,2012-2016,0
Red Sword-grass,SS89,2012-2016,0
Red Sword-grass,SS90,2012-2016,0
Red Sword-grass,SS94,2012-2016,0
Red Sword-grass,ST01,2012-2016,0
Red Sword-grass,ST07,2012-2016,0
Red Sword-grass,ST12,2012-2016,0
Angle-striped Sallow,ST13,1975-1991,1
Sword-grass,ST20,2012-2016,1
Red Sword-grass,ST20,1975-1991,0
Red Sword-grass,ST21,1975-1991,0
Red Sword-grass,ST22,2012-2016,0
Gold Spangle,ST28,2012-2016,0
Red Sword-grass,ST28,2012-2016,0
Red Sword-grass,ST29,2012-2016,0
Red Sword-grass,ST33,2012-2016,0
Red Sword-grass,ST35,1975-1991,0
Red Sword-grass,ST36,2012-2016,0
Angle-striped Sallow,ST36,2012-2016,1
Red Sword-grass,ST38,2012-2016,0
Red Sword-grass,ST39,2012-2016,0
Sword-grass,ST41,1975-1991,0
Red Sword-grass,ST41,2012-2016,0
Red Sword-grass,ST42,2012-2016,0
Red Sword-grass,ST43,1975-1991,0
Red Sword-grass,ST47,2012-2016,0
Sword-grass,ST51,1975-1991,0
Red Sword-grass,ST53,1975-1991,0
Red Sword-grass,ST53,2012-2016,0
Red Sword-grass,ST60,2012-2016,0
Red Sword-grass,ST61,2012-2016,0
Red Sword-grass,ST75,2012-2016,0
Red Sword-grass,ST78,2012-2016,0
Red Sword-grass,ST80,2012-2016,0
Red Sword-grass,ST89,1975-1991,0
Great Brocade,ST89,1975-1991,1
Red Sword-grass,ST97,2012-2016,0
Red Sword-grass,SU01,2012-2016,0
Rannoch Looper,SU10,1975-1991,1
Red Sword-grass,SU10,1975-1991,0
Red Sword-grass,SU10,2012-2016,0
Red Sword-grass,SU17,2012-2016,0
Red Sword-grass,SU20,1975-1991,0
Red Sword-grass,SU20,2012-2016,0
Red Sword-grass,SU21,2012-2016,0
Red Sword-grass,SU22,2012-2016,0
Angle-striped Sallow,SU22,2012-2016,1
Great Brocade,SU24,1975-1991,1
Sword-grass,SU29,1975-1991,0
Red Sword-grass,SU30,1975-1991,0
Red Sword-grass,SU30,2012-2016,0
Great Brocade,SU31,1975-1991,1
Red Sword-grass,SU33,2012-2016,0
Gold Spangle,SU39,1975-1991,1
Angle-striped Sallow,SU39,1975-1991,1
Red Sword-grass,SU43,1975-1991,0
Angle-striped Sallow,SU43,1975-1991,1
Great Brocade,SU43,1975-1991,1
Angle-striped Sallow,SU49,1975-1991,1
Red Sword-grass,SU50,2012-2016,0
Red Sword-grass,SU51,2012-2016,0
