Common_name,Hectad,Time_period,Exclude
Gold Spangle,NO32,2012-2016,0
Golden-rod Brindle,NO32,1975-1991,0
Sword-grass,NO32,1975-1991,0
Red Sword-grass,NO32,1975-1991,0
Gold Spangle,NO35,2012-2016,0
Sword-grass,NO35,2012-2016,0
Red Sword-grass,NO35,2012-2016,0
Golden-rod Brindle,NO36,2012-2016,0
Sword-grass,NO36,2012-2016,0
Red Sword-grass,NO36,2012-2016,0
Gold Spangle,NO37,2012-2016,0
Red Sword-grass,NO37,2012-2016,0
Scarce Silver Y,NO38,2012-2016,0
Sword-grass,NO38,2012-2016,0
Red Sword-grass,NO38,2012-2016,0
Golden-rod Brindle,NO39,1975-1991,0
Gold Spangle,NO40,2012-2016,0
Red Sword-grass,NO40,2012-2016,0
Red Sword-grass,NO41,2012-2016,0
Gold Spangle,NO42,2012-2016,0
Red Sword-grass,NO42,2012-2016,0
Gold Spangle,NO43,2012-2016,0
Red Sword-grass,NO47,2012-2016,0
Scarce Silver Y,NO48,2012-2016,0
Red Sword-grass,NO48,2012-2016,0
Rannoch Looper,NO49,1975-1991,0
Gold Spangle,NO49,2012-2016,0
Scarce Silver Y,NO49,1975-1991,0
Scarce Silver Y,NO49,2012-2016,0
Golden-rod Brindle,NO49,1975-1991,0
Golden-rod Brindle,NO49,2012-2016,0
Sword-grass,NO49,1975-1991,0
Sword-grass,NO49,2012-2016,0
Red Sword-grass,NO49,1975-1991,0
Red Sword-grass,NO49,2012-2016,0
Angle-striped Sallow,NO49,1975-1991,0
Angle-striped Sallow,NO49,2012-2016,0
Gold Spangle,NO50,1975-1991,0
Gold Spangle,NO50,2012-2016,0
Red Sword-grass,NO50,2012-2016,0
Gold Spangle,NO52,1975-1991,0
Gold Spangle,NO52,2012-2016,0
Red Sword-grass,NO52,2012-2016,0
Gold Spangle,NO53,2012-2016,0
Red Sword-grass,NO53,2012-2016,0
Sword-grass,NO54,2012-2016,0
Red Sword-grass,NO54,2012-2016,0
Red Sword-grass,NO55,2012-2016,0
Gold Spangle,NO59,2012-2016,0
Golden-rod Brindle,NO59,2012-2016,0
Red Sword-grass,NO59,2012-2016,0
Gold Spangle,NO64,2012-2016,0
Sword-grass,NO64,2012-2016,0
Red Sword-grass,NO64,2012-2016,0
Gold Spangle,NO65,2012-2016,0
Gold Spangle,NO66,2012-2016,0
Gold Spangle,NO69,2012-2016,0
Scarce Silver Y,NO69,1975-1991,0
Sword-grass,NO69,1975-1991,0
Sword-grass,NO69,2012-2016,0
Red Sword-grass,NO69,2012-2016,0
Gold Spangle,NO75,2012-2016,0
Sword-grass,NO75,2012-2016,0
Red Sword-grass,NO75,2012-2016,0
Gold Spangle,NO76,1975-1991,0
Gold Spangle,NO76,2012-2016,0
Great Brocade,NO76,1975-1991,1
Red Sword-grass,NO79,2012-2016,0
Gold Spangle,NO89,1975-1991,0
Gold Spangle,NR24,2012-2016,0
Scarce Silver Y,NR24,2012-2016,0
Gold Spangle,NR26,2012-2016,0
Red Sword-grass,NR26,2012-2016,0
Gold Spangle,NR39,1975-1991,0
Scarce Silver Y,NR39,1975-1991,0
Gold Spangle,NR45,1975-1991,0
Scarce Silver Y,NR45,1975-1991,0
Gold Spangle,NR47,1975-1991,0
Red Sword-grass,NR62,2012-2016,0
Red Sword-grass,NR64,2012-2016,0
Gold Spangle,NR78,2012-2016,0
Great Brocade,NR78,1975-1991,0
Gold Spangle,NR79,1975-1991,0
Gold Spangle,NR83,2012-2016,0
Gold Spangle,NR85,2012-2016,0
Scarce Silver Y,NR85,2012-2016,0
Red Sword-grass,NR85,2012-2016,0
Gold Spangle,NR86,2012-2016,0
Gold Spangle,NR88,2012-2016,0
Gold Spangle,NR89,1975-1991,0
Gold Spangle,NR89,2012-2016,0
Red Sword-grass,NR89,2012-2016,0
Great Brocade,NR89,2012-2016,0
Gold Spangle,NR93,1975-1991,0
Scarce Silver Y,NR93,1975-1991,0
Red Sword-grass,NR93,1975-1991,0
Gold Spangle,NR95,1975-1991,0
Red Sword-grass,NR95,1975-1991,0
Scarce Silver Y,NS02,1975-1991,0
Gold Spangle,NS03,2012-2016,0
Red Sword-grass,NS03,2012-2016,0
Gold Spangle,NS16,2012-2016,0
Red Sword-grass,NS16,2012-2016,0
Great Brocade,NS16,2012-2016,0
Gold Spangle,NS18,2012-2016,0
Red Sword-grass,NS18,2012-2016,0
Gold Spangle,NS20,1975-1991,0
Gold Spangle,NS20,2012-2016,0
Red Sword-grass,NS20,1975-1991,0
Red Sword-grass,NS21,2012-2016,0
Gold Spangle,NS23,2012-2016,0
Gold Spangle,NS24,2012-2016,0
Red Sword-grass,NS26,2012-2016,0
Gold Spangle,NS31,1975-1991,0
Gold Spangle,NS32,2012-2016,0
Gold Spangle,NS34,2012-2016,0
Gold Spangle,NS35,2012-2016,0
Gold Spangle,NS36,2012-2016,0
Red Sword-grass,NS36,2012-2016,0
Gold Spangle,NS37,2012-2016,0
Red Sword-grass,NS37,2012-2016,0
Gold Spangle,NS39,1975-1991,0
Golden-rod Brindle,NS39,1975-1991,0
Red Sword-grass,NS39,1975-1991,0
Great Brocade,NS39,1975-1991,0
Great Brocade,NS39,2012-2016,0
Gold Spangle,NS41,2012-2016,0
Gold Spangle,NS42,2012-2016,0
Red Sword-grass,NS42,2012-2016,0
Red Sword-grass,NS45,2012-2016,0
Gold Spangle,NS46,2012-2016,0
Gold Spangle,NS47,2012-2016,0
Red Sword-grass,NS47,2012-2016,0
Gold Spangle,NS48,1975-1991,0
Golden-rod Brindle,NS48,1975-1991,0
Sword-grass,NS48,1975-1991,0
Red Sword-grass,NS48,1975-1991,0
Red Sword-grass,NS48,2012-2016,0
Great Brocade,NS48,1975-1991,0
Gold Spangle,NS49,2012-2016,0
Gold Spangle,NS50,2012-2016,0
Gold Spangle,NS53,2012-2016,0
Red Sword-grass,NS53,2012-2016,0
Gold Spangle,NS55,2012-2016,0
Gold Spangle,NS56,1975-1991,0
Gold Spangle,NS56,2012-2016,0
Scarce Silver Y,NS56,1975-1991,0
Red Sword-grass,NS56,1975-1991,0
Gold Spangle,NS57,2012-2016,0
Red Sword-grass,NS57,2012-2016,0
Gold Spangle,NS58,2012-2016,0
Golden-rod Brindle,NS58,2012-2016,0
Red Sword-grass,NS58,2012-2016,0
Gold Spangle,NS64,2012-2016,0
Gold Spangle,NS65,2012-2016,0
Gold Spangle,NS66,1975-1991,0
Gold Spangle,NS66,2012-2016,0
Gold Spangle,NS67,2012-2016,0
Golden-rod Brindle,NS69,2012-2016,0
Red Sword-grass,NS69,2012-2016,0
Great Brocade,NS69,2012-2016,0
Gold Spangle,NS73,2012-2016,0
Gold Spangle,NS74,2012-2016,0
Gold Spangle,NS75,2012-2016,0
Gold Spangle,NS77,2012-2016,0
Scarce Silver Y,NS77,2012-2016,0
Gold Spangle,NS79,2012-2016,0
Golden-rod Brindle,NS79,2012-2016,0
Red Sword-grass,NS79,2012-2016,0
Angle-striped Sallow,NS79,2012-2016,0
Gold Spangle,NS80,2012-2016,0
Red Sword-grass,NS80,2012-2016,0
Gold Spangle,NS82,2012-2016,0
Gold Spangle,NS83,2012-2016,0
Gold Spangle,NS84,2012-2016,0
Red Sword-grass,NS84,2012-2016,0
Gold Spangle,NS85,2012-2016,0
Gold Spangle,NS86,2012-2016,0
Red Sword-grass,NS86,2012-2016,0
Gold Spangle,NS87,1975-1991,0
Sword-grass,NS87,2012-2016,0
Gold Spangle,NS88,1975-1991,0
Sword-grass,NS88,1975-1991,0
Red Sword-grass,NS88,1975-1991,0
Great Brocade,NS88,1975-1991,0
Gold Spangle,NS89,2012-2016,0
Golden-rod Brindle,NS89,2012-2016,0
Red Sword-grass,NS89,2012-2016,0
Gold Spangle,NS92,2012-2016,0
Gold Spangle,NS95,2012-2016,0
Gold Spangle,NS96,2012-2016,0
Scarce Silver Y,NS96,2012-2016,0
Gold Spangle,NS97,2012-2016,0
Red Sword-grass,NS97,2012-2016,0
Gold Spangle,NS98,2012-2016,0
Red Sword-grass,NS98,2012-2016,0
Gold Spangle,NS99,2012-2016,0
Gold Spangle,NT00,2012-2016,0
Golden-rod Brindle,NT00,1975-1991,0
Gold Spangle,NT02,2012-2016,0
Scarce Silver Y,NT02,2012-2016,0
Gold Spangle,NT03,2012-2016,0
Scarce Silver Y,NT03,2012-2016,0
Gold Spangle,NT04,2012-2016,0
Red Sword-grass,NT04,2012-2016,0
Gold Spangle,NT05,2012-2016,0
Red Sword-grass,NT05,2012-2016,0
Gold Spangle,NT06,2012-2016,0
Red Sword-grass,NT06,2012-2016,0
Gold Spangle,NT07,1975-1991,0
Gold Spangle,NT07,2012-2016,0
Sword-grass,NT07,1975-1991,0
Red Sword-grass,NT07,1975-1991,0
Great Brocade,NT07,1975-1991,1
Gold Spangle,NT08,2012-2016,0
Gold Spangle,NT09,1975-1991,0
Gold Spangle,NT09,2012-2016,0
Red Sword-grass,NT09,2012-2016,0
Gold Spangle,NT11,2012-2016,0
Scarce Silver Y,NT11,2012-2016,0
Gold Spangle,NT12,2012-2016,0
Scarce Silver Y,NT12,2012-2016,0
Scarce Silver Y,NT13,2012-2016,0
Gold Spangle,NT14,2012-2016,0
Scarce Silver Y,NT14,2012-2016,0
Red Sword-grass,NT14,1975-1991,0
Red Sword-grass,NT14,2012-2016,0
Gold Spangle,NT17,2012-2016,0
Great Brocade,NT17,1975-1991,1
Gold Spangle,NT18,2012-2016,0
Gold Spangle,NT19,2012-2016,0
Sword-grass,NT19,2012-2016,0
Red Sword-grass,NT19,2012-2016,0
Gold Spangle,NT20,2012-2016,0
Scarce Silver Y,NT21,2012-2016,0
Gold Spangle,NT22,2012-2016,0
Gold Spangle,NT23,1975-1991,0
Gold Spangle,NT23,2012-2016,0
Red Sword-grass,NT23,1975-1991,0
Red Sword-grass,NT23,2012-2016,0
Great Brocade,NT23,1975-1991,1
Gold Spangle,NT24,1975-1991,0
Gold Spangle,NT24,2012-2016,0
Scarce Silver Y,NT24,2012-2016,0
Great Brocade,NT24,1975-1991,1
Gold Spangle,NT25,1975-1991,0
Gold Spangle,NT25,2012-2016,0
Red Sword-grass,NT25,2012-2016,0
Gold Spangle,NT26,2012-2016,0
Gold Spangle,NT27,1975-1991,0
Gold Spangle,NT27,2012-2016,0
Gold Spangle,NT28,2012-2016,0
Red Sword-grass,NT28,2012-2016,0
Gold Spangle,NT29,2012-2016,0
Red Sword-grass,NT29,2012-2016,0
Gold Spangle,NT32,2012-2016,0
Scarce Silver Y,NT32,2012-2016,0
Red Sword-grass,NT32,2012-2016,0
Gold Spangle,NT33,2012-2016,0
Red Sword-grass,NT33,2012-2016,0
Golden-rod Brindle,NT34,1975-1991,0
Gold Spangle,NT37,2012-2016,0
Red Sword-grass,NT41,2012-2016,0
Gold Spangle,NT42,2012-2016,0
Scarce Silver Y,NT42,2012-2016,0
Red Sword-grass,NT42,2012-2016,0
Gold Spangle,NT43,1975-1991,0
Gold Spangle,NT43,2012-2016,0
Scarce Silver Y,NT43,1975-1991,0
Red Sword-grass,NT43,1975-1991,0
Red Sword-grass,NT43,2012-2016,0
Golden-rod Brindle,NT44,2012-2016,0
Gold Spangle,NT45,2012-2016,0
Gold Spangle,NT46,2012-2016,0
Red Sword-grass,NT46,2012-2016,0
Gold Spangle,NT47,2012-2016,0
Red Sword-grass,NT47,2012-2016,0
Gold Spangle,NT48,2012-2016,0
Gold Spangle,NT51,1975-1991,0
Gold Spangle,NT51,2012-2016,0
Scarce Silver Y,NT51,1975-1991,0
Golden-rod Brindle,NT51,1975-1991,0
Sword-grass,NT51,1975-1991,0
Red Sword-grass,NT51,1975-1991,0
Red Sword-grass,NT51,2012-2016,0
Great Brocade,NT51,1975-1991,1
Gold Spangle,NT52,2012-2016,0
Red Sword-grass,NT52,2012-2016,0
Gold Spangle,NT53,1975-1991,0
Gold Spangle,NT53,2012-2016,0
Red Sword-grass,NT53,2012-2016,0
Gold Spangle,NT54,2012-2016,0
Red Sword-grass,NT54,2012-2016,0
Golden-rod Brindle,NT55,2012-2016,0
Golden-rod Brindle,NT56,2012-2016,0
Gold Spangle,NT57,2012-2016,0
Red Sword-grass,NT57,2012-2016,0
Gold Spangle,NT58,2012-2016,0
Red Sword-grass,NT58,2012-2016,0
Gold Spangle,NT61,2012-2016,0
Red Sword-grass,NT61,2012-2016,0
Gold Spangle,NT62,2012-2016,0
Red Sword-grass,NT64,2012-2016,0
Golden-rod Brindle,NT65,2012-2016,0
Red Sword-grass,NT65,2012-2016,0
Gold Spangle,NT66,1975-1991,0
Gold Spangle,NT66,2012-2016,0
Scarce Silver Y,NT66,2012-2016,0
Golden-rod Brindle,NT66,2012-2016,0
Red Sword-grass,NT66,2012-2016,0
Gold Spangle,NT67,2012-2016,0
Great Brocade,NT69,1975-1991,1
Gold Spangle,NT70,2012-2016,0
Red Sword-grass,NT70,2012-2016,0
Red Sword-grass,NT71,2012-2016,0
Red Sword-grass,NT74,2012-2016,0
Gold Spangle,NT76,2012-2016,0
Red Sword-grass,NT76,2012-2016,0
Gold Spangle,NT77,2012-2016,0
Gold Spangle,NT85,2012-2016,0
Red Sword-grass,NT85,2012-2016,0
Gold Spangle,NT86,2012-2016,0
Red Sword-grass,NT86,2012-2016,0
Red Sword-grass,NT92,1975-1991,0
Gold Spangle,NT94,2012-2016,0
Gold Spangle,NT95,2012-2016,0
Gold Spangle,NT96,1975-1991,0
Gold Spangle,NT96,2012-2016,0
Scarce Silver Y,NT96,1975-1991,0
Sword-grass,NT96,1975-1991,0
Red Sword-grass,NT96,1975-1991,0
Red Sword-grass,NT96,2012-2016,0
Great Brocade,NT96,1975-1991,1
Gold Spangle,NU00,1975-1991,0
Gold Spangle,NU00,2012-2016,0
Scarce Silver Y,NU00,1975-1991,0
Golden-rod Brindle,NU00,2012-2016,0
Red Sword-grass,NU00,2012-2016,0
Gold Spangle,NU01,2012-2016,0
Gold Spangle,NU02,1975-1991,0
Gold Spangle,NU02,2012-2016,0
Gold Spangle,NU03,1975-1991,0
Gold Spangle,NU10,2012-2016,0
Red Sword-grass,NU10,2012-2016,0
Great Brocade,NU10,2012-2016,1
Gold Spangle,NU12,2012-2016,0
Red Sword-grass,NU12,2012-2016,0
Gold Spangle,NU13,1975-1991,0
Gold Spangle,NU20,1975-1991,0
Gold Spangle,NU20,2012-2016,0
Gold Spangle,NU21,2012-2016,0
Red Sword-grass,NU21,2012-2016,0
Great Brocade,NU21,2012-2016,1
Gold Spangle,NU22,1975-1991,0
Gold Spangle,NU22,2012-2016,0
Scarce Silver Y,NU22,1975-1991,0
Red Sword-grass,NU22,1975-1991,0
Red Sword-grass,NU23,2012-2016,0
Gold Spangle,NX15,1975-1991,0
Red Sword-grass,NX15,1975-1991,0
Gold Spangle,NX19,2012-2016,0
Gold Spangle,NX27,2012-2016,0
Red Sword-grass,NX34,2012-2016,0
Gold Spangle,NX35,1975-1991,0
Scarce Silver Y,NX36,1975-1991,0
Red Sword-grass,NX36,2012-2016,0
Gold Spangle,NX37,2012-2016,0
Scarce Silver Y,NX37,2012-2016,0
Red Sword-grass,NX37,2012-2016,0
Red Sword-grass,NX38,2012-2016,0
Red Sword-grass,NX44,2012-2016,0
Red Sword-grass,NX45,2012-2016,0
Gold Spangle,NX46,1975-1991,0
Gold Spangle,NX46,2012-2016,0
Red Sword-grass,NX46,2012-2016,0
Golden-rod Brindle,NX49,1975-1991,0
Gold Spangle,NX55,2012-2016,0
Red Sword-grass,NX55,2012-2016,0
Golden-rod Brindle,NX57,1975-1991,0
Red Sword-grass,NX64,2012-2016,0
Gold Spangle,NX65,1975-1991,0
Gold Spangle,NX65,2012-2016,0
Red Sword-grass,NX65,1975-1991,0
Red Sword-grass,NX65,2012-2016,0
Great Brocade,NX65,1975-1991,1
Gold Spangle,NX66,1975-1991,0
Gold Spangle,NX66,2012-2016,0
Red Sword-grass,NX66,1975-1991,0
Great Brocade,NX66,1975-1991,1
Gold Spangle,NX67,1975-1991,0
Gold Spangle,NX68,2012-2016,0
Red Sword-grass,NX68,2012-2016,0
Great Brocade,NX68,2012-2016,1
Gold Spangle,NX75,1975-1991,0
Gold Spangle,NX75,2012-2016,0
Red Sword-grass,NX75,1975-1991,0
Great Brocade,NX75,1975-1991,1
Red Sword-grass,NX77,2012-2016,0
Gold Spangle,NX85,1975-1991,0
Gold Spangle,NX85,2012-2016,0
Red Sword-grass,NX85,2012-2016,0
Gold Spangle,NX86,2012-2016,0
Gold Spangle,NX87,2012-2016,0
Gold Spangle,NX88,2012-2016,0
Red Sword-grass,NX88,2012-2016,0
Gold Spangle,NX89,1975-1991,0
Gold Spangle,NX89,2012-2016,0
Red Sword-grass,NX89,1975-1991,0
Great Brocade,NX89,1975-1991,1
Great Brocade,NX89,2012-2016,1
Gold Spangle,NX91,2012-2016,0
Gold Spangle,NX95,2012-2016,0
Gold Spangle,NX96,2012-2016,0
Gold Spangle,NX97,2012-2016,0
Red Sword-grass,NX97,2012-2016,0
Gold Spangle,NX98,1975-1991,0
Red Sword-grass,NX98,2012-2016,0
Gold Spangle,NY01,2012-2016,0
Red Sword-grass,NY02,2012-2016,0
Gold Spangle,NY03,2012-2016,0
Red Sword-grass,NY03,2012-2016,0
Red Sword-grass,NY04,2012-2016,0
Gold Spangle,NY06,1975-1991,0
Gold Spangle,NY06,2012-2016,0
Sword-grass,NY06,2012-2016,0
Gold Spangle,NY08,1975-1991,0
Gold Spangle,NY09,2012-2016,0
Scarce Silver Y,NY09,2012-2016,0
Red Sword-grass,NY09,2012-2016,0
Gold Spangle,NY11,2012-2016,0
Red Sword-grass,NY12,2012-2016,0
Gold Spangle,NY13,2012-2016,0
Red Sword-grass,NY13,2012-2016,0
Red Sword-grass,NY14,2012-2016,0
Gold Spangle,NY15,2012-2016,0
Great Brocade,NY15,2012-2016,1
Red Sword-grass,NY16,2012-2016,0
Golden-rod Brindle,NY17,2012-2016,0
Gold Spangle,NY18,2012-2016,0
Red Sword-grass,NY18,2012-2016,0
Gold Spangle,NY21,2012-2016,0
Scarce Silver Y,NY21,2012-2016,0
Gold Spangle,NY22,2012-2016,0
Scarce Silver Y,NY22,2012-2016,0
Red Sword-grass,NY22,2012-2016,0
Gold Spangle,NY23,2012-2016,0
Gold Spangle,NY24,2012-2016,0
Red Sword-grass,NY24,2012-2016,0
Gold Spangle,NY26,2012-2016,0
Red Sword-grass,NY26,2012-2016,0
Gold Spangle,NY27,2012-2016,0
Golden-rod Brindle,NY27,1975-1991,0
Gold Spangle,NY29,2012-2016,0
Gold Spangle,NY30,2012-2016,0
Scarce Silver Y,NY30,2012-2016,0
Red Sword-grass,NY30,2012-2016,0
Gold Spangle,NY32,1975-1991,0
Gold Spangle,NY34,2012-2016,0
Gold Spangle,NY35,2012-2016,0
Red Sword-grass,NY35,2012-2016,0
Scarce Silver Y,NY36,1975-1991,0
Red Sword-grass,NY37,2012-2016,0
Gold Spangle,NY39,2012-2016,0
Gold Spangle,NY43,2012-2016,0
Red Sword-grass,NY44,1975-1991,0
Gold Spangle,NY45,1975-1991,0
Gold Spangle,NY45,2012-2016,0
Red Sword-grass,NY45,2012-2016,0
Red Sword-grass,NY47,2012-2016,0
Gold Spangle,NY48,1975-1991,0
Gold Spangle,NY48,2012-2016,0
Red Sword-grass,NY48,1975-1991,0
Red Sword-grass,NY48,2012-2016,0
Gold Spangle,NY49,2012-2016,0
Gold Spangle,NY50,2012-2016,0
Gold Spangle,NY51,2012-2016,0
Gold Spangle,NY54,1975-1991,0
Gold Spangle,NY54,2012-2016,0
Scarce Silver Y,NY54,1975-1991,0
Golden-rod Brindle,NY54,1975-1991,0
Red Sword-grass,NY54,2012-2016,0
Great Brocade,NY54,1975-1991,1
Gold Spangle,NY55,1975-1991,0
Gold Spangle,NY55,2012-2016,0
Great Brocade,NY55,1975-1991,1
Gold Spangle,NY56,2012-2016,0
Red Sword-grass,NY56,2012-2016,0
Gold Spangle,NY57,2012-2016,0
Scarce Silver Y,NY57,2012-2016,0
Red Sword-grass,NY57,2012-2016,0
Red Sword-grass,NY58,2012-2016,0
Gold Spangle,NY59,1975-1991,0
Scarce Silver Y,NY59,1975-1991,0
Red Sword-grass,NY59,1975-1991,0
Gold Spangle,NY61,2012-2016,0
Red Sword-grass,NY61,2012-2016,0
Gold Spangle,NY62,2012-2016,0
Gold Spangle,NY63,2012-2016,0
Gold Spangle,NY65,2012-2016,0
Golden-rod Brindle,NY65,2012-2016,0
Red Sword-grass,NY65,2012-2016,0
Gold Spangle,NY67,2012-2016,0
Scarce Silver Y,NY67,1975-1991,0
Gold Spangle,NY68,1975-1991,0
Scarce Silver Y,NY68,1975-1991,0
Scarce Silver Y,NY68,2012-2016,0
Gold Spangle,NY69,1975-1991,0
Gold Spangle,NY69,2012-2016,0
Scarce Silver Y,NY69,1975-1991,0
Scarce Silver Y,NY69,2012-2016,0
Golden-rod Brindle,NY69,1975-1991,0
Red Sword-grass,NY69,1975-1991,0
Red Sword-grass,NY69,2012-2016,0
Great Brocade,NY69,1975-1991,1
Gold Spangle,NY70,1975-1991,0
Gold Spangle,NY70,2012-2016,0
Gold Spangle,NY71,2012-2016,0
Red Sword-grass,NY71,2012-2016,0
Gold Spangle,NY72,2012-2016,0
Gold Spangle,NY73,2012-2016,0
Scarce Silver Y,NY73,1975-1991,0
Golden-rod Brindle,NY73,1975-1991,0
Red Sword-grass,NY73,2012-2016,0
Gold Spangle,NY74,1975-1991,0
Gold Spangle,NY74,2012-2016,0
Gold Spangle,NY75,1975-1991,0
Red Sword-grass,NY76,1975-1991,0
Gold Spangle,NY77,1975-1991,0
Golden-rod Brindle,NY77,1975-1991,0
Gold Spangle,NY78,2012-2016,0
Scarce Silver Y,NY78,1975-1991,0
Gold Spangle,NY80,2012-2016,0
Gold Spangle,NY82,1975-1991,0
Gold Spangle,NY83,1975-1991,0
Gold Spangle,NY83,2012-2016,0
Gold Spangle,NY85,1975-1991,0
Red Sword-grass,NY85,1975-1991,0
Gold Spangle,NY86,1975-1991,0
Red Sword-grass,NY86,1975-1991,0
Gold Spangle,NY87,2012-2016,0
Red Sword-grass,NY87,2012-2016,0
Red Sword-grass,NY88,2012-2016,0
Red Sword-grass,NY89,1975-1991,0
Red Sword-grass,NY91,2012-2016,0
Gold Spangle,NY92,1975-1991,0
Gold Spangle,NY93,2012-2016,0
Gold Spangle,NY94,1975-1991,0
Gold Spangle,NY95,2012-2016,0
Scarce Silver Y,NY95,1975-1991,0
Gold Spangle,NY96,1975-1991,0
Gold Spangle,NY96,2012-2016,0
Scarce Silver Y,NY96,2012-2016,0
Gold Spangle,NY97,2012-2016,0
Red Sword-grass,NY97,2012-2016,0
Gold Spangle,NY98,2012-2016,0
Great Brocade,NY98,2012-2016,1
Gold Spangle,NY99,2012-2016,0
Golden-rod Brindle,NY99,1975-1991,0
Great Brocade,NY99,1975-1991,1
Gold Spangle,NZ00,1975-1991,0
Gold Spangle,NZ01,1975-1991,0
Gold Spangle,NZ01,2012-2016,0
Red Sword-grass,NZ01,2012-2016,0
Red Sword-grass,NZ02,2012-2016,0
Gold Spangle,NZ03,1975-1991,0
Scarce Silver Y,NZ03,1975-1991,0
Golden-rod Brindle,NZ03,1975-1991,0
Great Brocade,NZ03,1975-1991,1
Gold Spangle,NZ05,1975-1991,0
Great Brocade,NZ05,1975-1991,1
Gold Spangle,NZ06,2012-2016,0
Red Sword-grass,NZ06,2012-2016,0
Gold Spangle,NZ09,2012-2016,0
Gold Spangle,NZ10,2012-2016,0
Gold Spangle,NZ12,1975-1991,0
Great Brocade,NZ12,1975-1991,1
Gold Spangle,NZ13,2012-2016,0
Gold Spangle,NZ14,1975-1991,0
Gold Spangle,NZ15,1975-1991,0
Gold Spangle,NZ15,2012-2016,0
Gold Spangle,NZ16,1975-1991,0
Gold Spangle,NZ16,2012-2016,0
Red Sword-grass,NZ16,2012-2016,0
Great Brocade,NZ16,1975-1991,1
Gold Spangle,NZ18,1975-1991,0
Gold Spangle,NZ18,2012-2016,0
Red Sword-grass,NZ18,2012-2016,0
Gold Spangle,NZ21,2012-2016,0
Gold Spangle,NZ22,2012-2016,0
Gold Spangle,NZ24,1975-1991,0
Gold Spangle,NZ24,2012-2016,0
Sword-grass,NZ24,1975-1991,0
Gold Spangle,NZ25,1975-1991,0
Gold Spangle,NZ25,2012-2016,0
Red Sword-grass,NZ25,2012-2016,0
Great Brocade,NZ25,1975-1991,1
Gold Spangle,NZ26,2012-2016,0
Red Sword-grass,NZ26,2012-2016,0
Gold Spangle,NZ27,1975-1991,0
Gold Spangle,NZ27,2012-2016,0
Red Sword-grass,NZ27,2012-2016,0
Gold Spangle,NZ28,1975-1991,0
Gold Spangle,NZ28,2012-2016,0
Great Brocade,NZ28,1975-1991,1
Gold Spangle,NZ29,1975-1991,0
Gold Spangle,NZ29,2012-2016,0
Gold Spangle,NZ30,2012-2016,0
Scarce Silver Y,NZ30,2012-2016,0
Gold Spangle,NZ33,1975-1991,0
Gold Spangle,NZ35,1975-1991,0
Gold Spangle,NZ35,2012-2016,0
Red Sword-grass,NZ35,1975-1991,0
Gold Spangle,NZ36,2012-2016,0
Gold Spangle,NZ37,1975-1991,0
Gold Spangle,NZ37,2012-2016,0
Great Brocade,NZ37,1975-1991,1
Gold Spangle,NZ41,2012-2016,0
Gold Spangle,NZ43,1975-1991,0
Gold Spangle,NZ46,2012-2016,0
Red Sword-grass,NZ46,2012-2016,0
Scarce Silver Y,NZ50,1975-1991,0
Angle-striped Sallow,NZ50,2012-2016,0
Gold Spangle,NZ51,2012-2016,0
Sword-grass,NZ51,1975-1991,0
Red Sword-grass,NZ51,1975-1991,0
Gold Spangle,NZ52,2012-2016,0
Gold Spangle,NZ60,2012-2016,0
Scarce Silver Y,NZ60,1975-1991,0
Gold Spangle,NZ61,1975-1991,0
Gold Spangle,NZ61,2012-2016,0
Scarce Silver Y,NZ61,1975-1991,0
Scarce Silver Y,NZ61,2012-2016,0
Golden-rod Brindle,NZ61,1975-1991,0
Red Sword-grass,NZ61,1975-1991,0
Red Sword-grass,NZ61,2012-2016,0
Gold Spangle,NZ62,2012-2016,0
Gold Spangle,NZ70,2012-2016,0
Scarce Silver Y,NZ70,2012-2016,0
Golden-rod Brindle,NZ70,1975-1991,0
Golden-rod Brindle,NZ70,2012-2016,0
Red Sword-grass,NZ70,2012-2016,0
Gold Spangle,NZ80,1975-1991,0
Gold Spangle,NZ80,2012-2016,0
Scarce Silver Y,NZ80,2012-2016,0
Golden-rod Brindle,NZ80,1975-1991,0
Red Sword-grass,NZ80,1975-1991,0
Red Sword-grass,NZ80,2012-2016,0
Angle-striped Sallow,NZ80,1975-1991,0
Angle-striped Sallow,NZ80,2012-2016,0
Great Brocade,NZ80,1975-1991,1
Great Brocade,NZ80,2012-2016,1
Red Sword-grass,SD17,2012-2016,0
Angle-striped Sallow,SD17,1975-1991,1
Gold Spangle,SD20,2012-2016,0
Gold Spangle,SD26,1975-1991,0
Gold Spangle,SD26,2012-2016,0
Golden-rod Brindle,SD26,1975-1991,0
Red Sword-grass,SD26,1975-1991,0
Red Sword-grass,SD26,2012-2016,0
Angle-striped Sallow,SD26,1975-1991,1
Gold Spangle,SD27,2012-2016,0
Red Sword-grass,SD27,2012-2016,0
Gold Spangle,SD29,2012-2016,0
Red Sword-grass,SD30,2012-2016,0
Gold Spangle,SD31,2012-2016,0
Red Sword-grass,SD31,2012-2016,0
Red Sword-grass,SD32,2012-2016,0
Golden-rod Brindle,SD33,1975-1991,0
Gold Spangle,SD34,2012-2016,0
Gold Spangle,SD37,2012-2016,0
Golden-rod Brindle,SD37,1975-1991,0
Red Sword-grass,SD37,2012-2016,0
Gold Spangle,SD38,2012-2016,0
Golden-rod Brindle,SD38,1975-1991,0
Red Sword-grass,SD38,2012-2016,0
