"Hectad","n_recs"
"NR45",249
"NR46",2
"NR47",375
"NR49",368
"NR50",18
"NR51",20
"NR57",1
"NR60",42
"NR61",102
"NR62",51
"NR63",39
"NR64",2112
"NR65",42
"NR67",6
"NR68",1
"NR69",3
"NR70",30
"NR71",40
"NR72",43
"NR73",1
"NR74",57
"NR75",7
"NR76",9
"NR77",72
"NR78",632
"NR79",191
"NR83",113
"NR84",84
"NR85",5065
"NR86",155
"NR87",11
"NR88",145
"NR89",4098
"NR92",50
"NR93",404
"NR94",67
"NR95",382
"NR96",13
"NR97",488
"NR98",12
"NR99",8
"NS00",16
"NS02",22
"NS03",675
"NS04",321
"NS05",70
"NS06",112
"NS07",112
"NS08",164
"NS10",27
"NS14",5
"NS15",140
"NS16",7750
"NS17",136
"NS18",1625
"NS19",84
"NS20",16227
"NS21",610
"NS23",96
"NS24",4972
"NS25",50
"NS26",179
"NS27",135
"NS28",52
"NS29",76
"NS30",92
"NS31",432
"NS32",4616
"NS33",899
"NS34",376
"NS35",577
"NS36",918
"NS37",4260
"NS38",49
"NS39",55135
"NS40",386
"NS41",456
"NS42",4784
"NS43",409
"NS44",3
"NS45",245
"NS46",4953
"NS47",1691
"NS48",1591
"NS49",837
"NS50",15
"NS51",21
"NS52",129
"NS53",977
"NS54",37
"NS55",2954
"NS56",22713
"NS57",4552
"NS58",5354
"NS59",71
"NS60",10
"NS61",23
"NS62",41
"NS63",125
"NS64",210
"NS65",1928
"NS66",345
"NS67",2230
"NS68",36
"NS69",1273
"NS70",61
"NS71",42
"NS72",55
"NS73",93
"NS74",632
"NS75",847
"NS76",95
"NS77",291
"NS78",108
"NS79",3242
"NS80",2243
"NS81",92
"NS82",188
"NS83",263
"NS84",5069
"NS85",671
"NS86",630
"NS87",336
"NS88",2917
"NS89",384
"NS90",82
"NS91",75
"NS92",236
"NS93",446
"NS94",82
"NS95",351
"NS96",844
"NS97",6103
"NS98",1877
"NS99",2088
"NT00",212
"NT01",46
"NT02",323
"NT03",545
"NT04",637
"NT05",380
"NT06",501
"NT07",6067
"NT08",1066
"NT09",1956
"NT10",89
"NT11",321
"NT12",758
"NT13",532
"NT14",1736
"NT15",269
"NT16",87
"NT17",6577
"NT18",1584
"NT19",3974
"NT20",30
"NT21",219
"NT22",439
"NT23",9060
"NT24",1476
"NT25",899
"NT26",2344
"NT27",4918
"NT28",4213
"NT29",2484
"NT30",33
"NT31",73
"NT32",387
"NT33",1295
"NT34",410
"NT35",53
"NT36",597
"NT37",3940
"NT39",871
"NT40",34
"NT41",69
"NT42",1728
"NT43",4407
"NT44",47
"NT45",472
"NT46",6065
"NT47",3113
"NT48",3306
"NT49",166
"NT50",18
"NT51",8866
"NT52",359
"NT53",5676
"NT54",1941
"NT55",462
"NT56",1431
"NT57",2843
"NT58",3731
"NT59",3
"NT60",11
"NT61",10381
"NT62",388
"NT63",119
"NT64",1099
"NT65",690
"NT66",2067
"NT67",2448
"NT68",819
"NT69",3261
"NT70",40
"NT71",269
"NT72",64
"NT73",128
"NT74",388
"NT75",709
"NT76",1204
"NT77",1472
"NT80",199
"NT81",12
"NT82",114
"NT83",112
"NT84",540
"NT85",544
"NT86",1018
"NT87",227
"NT90",1060
"NT91",18
"NT92",223
"NT93",2344
"NT94",440
"NT95",1449
"NT96",16667
"NU00",4557
"NU01",696
"NU02",335
"NU03",1191
"NU04",479
"NU05",25
"NU10",16557
"NU11",360
"NU12",866
"NU13",800
"NU14",685
"NU20",4250
"NU21",15149
"NU22",22121
"NU23",2121
"NW95",90
"NW96",67
"NW97",3
"NX03",168
"NX04",102
"NX05",88
"NX06",715
"NX07",88
"NX08",116
"NX09",68
"NX13",583
"NX14",97
"NX15",902
"NX16",219
"NX17",2
"NX18",80
"NX19",55
"NX24",96
"NX25",53
"NX26",80
"NX27",13
"NX28",27
"NX29",13
"NX30",23
"NX33",36
"NX34",74
"NX35",133
"NX36",2069
"NX37",1366
"NX38",205
"NX39",23
"NX40",140
"NX43",329
"NX44",161
"NX45",191
"NX46",4004
"NX47",24
"NX48",78
"NX49",49
"NX54",242
"NX55",1466
"NX56",313
"NX57",155
"NX58",50
"NX59",134
"NX64",80
"NX65",10995
"NX66",2281
"NX67",99
"NX68",464
"NX69",67
"NX74",119
"NX75",5142
"NX76",70
"NX77",85
"NX79",65
"NX84",242
"NX85",2123
"NX86",447
"NX87",4556
"NX88",3096
"NX89",12032
"NX90",110
"NX91",1644
"NX92",66
"NX93",100
"NX95",565
"NX96",2444
"NX97",5804
"NX98",2661
"NX99",168
"NY00",304
"NY01",267
"NY02",3384
"NY03",1312
"NY04",1276
"NY05",64
"NY06",3447
"NY07",1075
"NY08",224
"NY09",5046
"NY10",385
"NY11",361
"NY12",473
"NY13",797
"NY14",307
"NY15",650
"NY16",2332
"NY17",658
"NY18",673
"NY19",28
"NY20",412
"NY21",1785
"NY22",5424
"NY23",218
"NY24",2660
"NY25",368
"NY26",2859
"NY27",657
"NY28",288
"NY29",269
