"HECTAD","TIME.PERIOD","EASTING","NORTHING","HECTAD.SR","REGION.SR","PERCENT.RECORDED","RECORDING.LEVEL","lon","lat"
"SN54","2012-2016",250000,240000,25,554,4.51263537906137,"Recorded",-4.18831030532201,52.0380541615299
"SN54","1975-1991",250000,240000,10,568,1.76056338028169,"Recorded",-4.18831030532201,52.0380541615299
"SN55","2012-2016",250000,250000,53,549,9.65391621129326,"Recorded",-4.19271116024014,52.1278940475512
"SN55","1975-1991",250000,250000,12,561,2.13903743315508,"Recorded",-4.19271116024014,52.1278940475512
"SN56","2012-2016",250000,260000,251,539,46.5677179962894,"Heavily recorded",-4.19713514363975,52.2177322910138
"SN56","1975-1991",250000,260000,28,557,5.02692998204668,"Recorded",-4.19713514363975,52.2177322910138
"SN57","2012-2016",250000,270000,98,542,18.0811808118081,"Well recorded",-4.2015824172958,52.3075688911566
"SN57","1975-1991",250000,270000,154,543,28.3609576427256,"Heavily recorded",-4.2015824172958,52.3075688911566
"SN58","2012-2016",250000,280000,322,536,60.0746268656716,"Heavily recorded",-4.20605314453506,52.3974038472141
"SN58","1975-1991",250000,280000,90,542,16.6051660516605,"Well recorded",-4.20605314453506,52.3974038472141
"SN59","2012-2016",250000,290000,2,542,0.3690036900369,"Recorded",-4.21054749025455,52.4872371584156
"SN59","1975-1991",250000,290000,5,543,0.920810313075506,"Recorded",-4.21054749025455,52.4872371584156
"SN60","2012-2016",260000,200000,108,572,18.8811188811189,"Well recorded",-4.02640021131532,51.6812617697648
"SN60","1975-1991",260000,200000,1,581,0.172117039586919,"Recorded",-4.02640021131532,51.6812617697648
"SN61","2012-2016",260000,210000,217,561,38.680926916221,"Heavily recorded",-4.03042372907761,51.7711165105671
"SN61","1975-1991",260000,210000,162,572,28.3216783216783,"Heavily recorded",-4.03042372907761,51.7711165105671
"SN62","2012-2016",260000,220000,251,556,45.1438848920863,"Heavily recorded",-4.03446825136954,51.8609696446499
"SN62","1975-1991",260000,220000,98,568,17.2535211267606,"Well recorded",-4.03446825136954,51.8609696446499
"SN63","2012-2016",260000,230000,100,556,17.9856115107914,"Well recorded",-4.03853392364132,51.950821171507
